Team,Possession (%),Passing accuracy (%),Passes completed,Passes attempted,Short passes completed,Medium passes completed,Long passes completed,Backward passes completed,Passes completed to left,Passes completed to right,Free-kicks taken,Passes into attacking third ,Passes into key play area,Passes into penalty area,Crossing accuracy (%),Crosses completed,Crosses attempted,Times in possession
Antwerp,53,87,461,530,60,353,48,111,110,132,8,29,22,9,8,1,12,180
Shakhtar,47,86,402,469,61,305,36,74,119,110,10,31,23,15,33,3,9,175
